id,Danceability
17170,6.0
17171,8.0
17172,6.0
17173,4.0
17174,7.0
17175,4.0
17176,6.0
17177,5.0
17178,7.0
17179,4.0
17180,5.0
17181,4.0
17182,8.0
17183,4.0
17184,6.0
17185,4.0
17186,6.0
17187,5.0
17188,4.0
17189,3.0
17190,4.0
17191,6.0
17192,4.0
17193,8.0
17194,6.0
17195,9.0
17196,6.0
17197,8.0
17198,9.0
17199,1.0
17200,3.0
17201,1.0
17202,2.0
17203,2.0
17204,6.0
17205,4.0
17206,4.0
17207,4.0
17208,3.0
17209,5.0
17210,4.0
17211,3.0
17212,3.0
17213,7.0
17214,6.0
17215,7.0
17216,0.0
17217,6.0
17218,7.0
17219,6.0
17220,7.0
17221,6.0
17222,9.0
17223,4.0
17224,4.0
17225,6.0
17226,7.0
17227,4.0
17228,6.0
17229,5.0
17230,5.0
17231,5.0
17232,6.0
17233,8.0
17234,5.0
17235,4.0
17236,7.0
17237,1.0
17238,0.0
17239,6.0
17240,0.0
17241,2.0
17242,5.0
17243,6.0
17244,2.0
17245,7.0
17246,6.0
17247,9.0
17248,4.0
17249,7.0
17250,2.0
17251,3.0
17252,6.0
17253,6.0
17254,9.0
17255,8.0
17256,8.0
17257,7.0
17258,8.0
17259,4.0
17260,8.0
17261,4.0
17262,9.0
17263,8.0
17264,6.0
17265,8.0
17266,4.0
17267,8.0
17268,8.0
17269,5.0
17270,8.0
17271,8.0
17272,8.0
17273,6.0
17274,7.0
17275,6.0
17276,4.0
17277,6.0
17278,6.0
17279,4.0
17280,6.0
17281,6.0
17282,4.0
17283,6.0
17284,7.0
17285,5.0
17286,5.0
17287,6.0
17288,7.0
17289,5.0
17290,6.0
17291,9.0
17292,6.0
17293,4.0
17294,7.0
17295,9.0
17296,9.0
17297,8.0
17298,4.0
17299,9.0
17300,2.0
17301,7.0
17302,4.0
17303,0.0
17304,9.0
17305,2.0
17306,4.0
17307,4.0
17308,3.0
17309,6.0
17310,4.0
17311,9.0
17312,6.0
17313,8.0
17314,9.0
17315,6.0
17316,4.0
17317,9.0
17318,9.0
17319,4.0
17320,8.0
17321,0.0
17322,7.0
17323,7.0
17324,4.0
17325,4.0
17326,7.0
17327,7.0
17328,7.0
17329,3.0
17330,2.0
17331,2.0
17332,6.0
17333,4.0
17334,4.0
17335,6.0
17336,6.0
17337,6.0
17338,8.0
17339,7.0
17340,7.0
17341,3.0
17342,5.0
17343,4.0
17344,2.0
17345,6.0
17346,4.0
17347,2.0
17348,6.0
17349,4.0
17350,4.0
17351,4.0
17352,7.0
17353,7.0
17354,7.0
17355,6.0
17356,8.0
17357,7.0
17358,7.0
17359,9.0
17360,8.0
17361,8.0
17362,3.0
17363,6.0
17364,6.0
17365,7.0
17366,6.0
17367,7.0
17368,4.0
17369,7.0
17370,8.0
17371,4.0
17372,6.0
17373,6.0
17374,7.0
17375,4.0
17376,6.0
17377,4.0
17378,1.0
17379,7.0
17380,0.0
17381,4.0
17382,7.0
17383,4.0
17384,9.0
17385,0.0
17386,9.0
17387,9.0
17388,4.0
17389,6.0
17390,7.0
17391,3.0
17392,7.0
17393,7.0
17394,8.0
17395,7.0
17396,5.0
17397,6.0
17398,2.0
17399,7.0
17400,2.0
17401,3.0
17402,3.0
17403,3.0
17404,3.0
17405,6.0
17406,1.0
17407,4.0
17408,2.0
17409,7.0
17410,2.0
17411,4.0
17412,0.0
17413,6.0
17414,4.0
17415,4.0
17416,6.0
17417,8.0
17418,4.0
17419,6.0
17420,2.0
17421,8.0
17422,4.0
17423,1.0
17424,5.0
17425,7.0
17426,6.0
17427,4.0
17428,0.0
17429,6.0
17430,6.0
17431,7.0
17432,7.0
17433,4.0
17434,4.0
17435,6.0
17436,5.0
17437,0.0
17438,7.0
17439,1.0
17440,1.0
17441,1.0
17442,4.0
17443,5.0
17444,5.0
17445,4.0
17446,1.0
17447,3.0
17448,1.0
17449,6.0
17450,7.0
17451,8.0
17452,7.0
17453,8.0
17454,7.0
17455,7.0
17456,8.0
17457,8.0
17458,5.0
17459,8.0
17460,4.0
17461,8.0
17462,7.0
17463,9.0
17464,7.0
17465,4.0
17466,4.0
17467,5.0
17468,2.0
17469,4.0
17470,6.0
17471,7.0
17472,4.0
17473,3.0
17474,3.0
17475,4.0
17476,4.0
17477,4.0
17478,8.0
17479,6.0
17480,5.0
17481,2.0
17482,5.0
17483,7.0
17484,9.0
17485,9.0
17486,7.0
17487,7.0
17488,8.0
17489,3.0
17490,6.0
17491,2.0
17492,4.0
17493,7.0
17494,4.0
17495,4.0
17496,4.0
17497,6.0
17498,4.0
17499,4.0
17500,1.0
17501,4.0
17502,5.0
17503,3.0
17504,0.0
17505,1.0
17506,1.0
17507,4.0
17508,5.0
17509,5.0
17510,8.0
17511,8.0
17512,4.0
17513,4.0
17514,8.0
17515,8.0
17516,4.0
17517,8.0
17518,7.0
17519,9.0
17520,5.0
17521,6.0
17522,9.0
17523,4.0
17524,7.0
17525,4.0
17526,4.0
17527,6.0
17528,4.0
17529,7.0
17530,3.0
17531,8.0
17532,8.0
17533,3.0
17534,4.0
17535,7.0
17536,3.0
17537,4.0
17538,4.0
