id,Danceability
17170,4.0
17171,7.0
17172,4.0
17173,1.0
17174,7.0
17175,8.0
17176,7.0
17177,2.0
17178,7.0
17179,3.0
17180,4.0
17181,7.0
17182,9.0
17183,6.0
17184,9.0
17185,7.0
17186,6.0
17187,2.0
17188,6.0
17189,8.0
17190,8.0
17191,9.0
17192,8.0
17193,7.0
17194,6.0
17195,9.0
17196,9.0
17197,8.0
17198,8.0
17199,1.0
17200,1.0
17201,6.0
17202,1.0
17203,0.0
17204,9.0
17205,5.0
17206,9.0
17207,4.0
17208,1.0
17209,4.0
17210,6.0
17211,5.0
17212,1.0
17213,8.0
17214,6.0
17215,7.0
17216,8.0
17217,9.0
17218,9.0
17219,7.0
17220,9.0
17221,0.0
17222,4.0
17223,5.0
17224,5.0
17225,6.0
17226,8.0
17227,1.0
17228,9.0
17229,4.0
17230,3.0
17231,6.0
17232,6.0
17233,0.0
17234,2.0
17235,4.0
17236,3.0
17237,0.0
17238,0.0
17239,7.0
17240,0.0
17241,1.0
17242,0.0
17243,8.0
17244,1.0
17245,1.0
17246,6.0
17247,9.0
17248,0.0
17249,5.0
17250,0.0
17251,4.0
17252,7.0
17253,6.0
17254,4.0
17255,8.0
17256,7.0
17257,7.0
17258,3.0
17259,7.0
17260,8.0
17261,7.0
17262,9.0
17263,7.0
17264,6.0
17265,4.0
17266,1.0
17267,6.0
17268,6.0
17269,8.0
17270,8.0
17271,9.0
17272,8.0
17273,4.0
17274,9.0
17275,8.0
17276,2.0
17277,4.0
17278,8.0
17279,7.0
17280,1.0
17281,9.0
17282,1.0
17283,7.0
17284,4.0
17285,9.0
17286,9.0
17287,0.0
17288,1.0
17289,9.0
17290,6.0
17291,0.0
17292,6.0
17293,6.0
17294,9.0
17295,9.0
17296,9.0
17297,8.0
17298,7.0
17299,7.0
17300,9.0
17301,7.0
17302,9.0
17303,0.0
17304,9.0
17305,7.0
17306,6.0
17307,1.0
17308,8.0
17309,9.0
17310,7.0
17311,8.0
17312,4.0
17313,5.0
17314,9.0
17315,6.0
17316,6.0
17317,6.0
17318,4.0
17319,0.0
17320,6.0
17321,8.0
17322,4.0
17323,7.0
17324,4.0
17325,4.0
17326,5.0
17327,8.0
17328,1.0
17329,6.0
17330,5.0
17331,7.0
17332,1.0
17333,6.0
17334,3.0
17335,3.0
17336,5.0
17337,6.0
17338,9.0
17339,7.0
17340,7.0
17341,3.0
17342,4.0
17343,1.0
17344,0.0
17345,1.0
17346,6.0
17347,9.0
17348,9.0
17349,1.0
17350,9.0
17351,3.0
17352,7.0
17353,7.0
17354,9.0
17355,9.0
17356,5.0
17357,9.0
17358,8.0
17359,9.0
17360,6.0
17361,9.0
17362,6.0
17363,8.0
17364,8.0
17365,7.0
17366,8.0
17367,9.0
17368,9.0
17369,7.0
17370,9.0
17371,9.0
17372,6.0
17373,5.0
17374,1.0
17375,4.0
17376,6.0
17377,1.0
17378,5.0
17379,9.0
17380,7.0
17381,9.0
17382,7.0
17383,9.0
17384,9.0
17385,7.0
17386,4.0
17387,7.0
17388,7.0
17389,7.0
17390,7.0
17391,7.0
17392,9.0
17393,7.0
17394,8.0
17395,8.0
17396,9.0
17397,7.0
17398,3.0
17399,1.0
17400,7.0
17401,0.0
17402,3.0
17403,1.0
17404,6.0
17405,9.0
17406,1.0
17407,6.0
17408,1.0
17409,8.0
17410,1.0
17411,6.0
17412,6.0
17413,6.0
17414,4.0
17415,7.0
17416,6.0
17417,6.0
17418,7.0
17419,9.0
17420,2.0
17421,9.0
17422,4.0
17423,1.0
17424,8.0
17425,7.0
17426,5.0
17427,8.0
17428,0.0
17429,8.0
17430,8.0
17431,5.0
17432,7.0
17433,6.0
17434,6.0
17435,6.0
17436,6.0
17437,1.0
17438,7.0
17439,2.0
17440,3.0
17441,8.0
17442,3.0
17443,5.0
17444,2.0
17445,5.0
17446,2.0
17447,2.0
17448,0.0
17449,9.0
17450,7.0
17451,8.0
17452,8.0
17453,9.0
17454,9.0
17455,1.0
17456,8.0
17457,7.0
17458,7.0
17459,8.0
17460,5.0
17461,6.0
17462,2.0
17463,5.0
17464,7.0
17465,2.0
17466,2.0
17467,3.0
17468,6.0
17469,6.0
17470,2.0
17471,8.0
17472,3.0
17473,9.0
17474,7.0
17475,5.0
17476,7.0
17477,8.0
17478,4.0
17479,3.0
17480,3.0
17481,6.0
17482,6.0
17483,7.0
17484,9.0
17485,9.0
17486,9.0
17487,5.0
17488,9.0
17489,1.0
17490,8.0
17491,6.0
17492,9.0
17493,9.0
17494,4.0
17495,0.0
17496,7.0
17497,7.0
17498,6.0
17499,8.0
17500,1.0
17501,3.0
17502,6.0
17503,3.0
17504,4.0
17505,1.0
17506,3.0
17507,1.0
17508,3.0
17509,9.0
17510,9.0
17511,8.0
17512,7.0
17513,8.0
17514,8.0
17515,9.0
17516,8.0
17517,3.0
17518,7.0
17519,9.0
17520,6.0
17521,8.0
17522,9.0
17523,3.0
17524,6.0
17525,8.0
17526,7.0
17527,5.0
17528,8.0
17529,8.0
17530,0.0
17531,6.0
17532,4.0
17533,3.0
17534,8.0
17535,8.0
17536,2.0
17537,8.0
17538,1.0
17539,7.0
17540,9.0
17541,8.0
17542,1.0
17543,1.0
17544,6.0
17545,3.0
17546,7.0
17547,6.0
17548,4.0
17549,5.0
17550,6.0
17551,8.0
17552,5.0
17553,1.0
17554,8.0
17555,5.0
17556,6.0
17557,8.0
17558,8.0
17559,8.0
17560,8.0
17561,9.0
17562,6.0
17563,3.0
17564,8.0
17565,3.0
17566,7.0
17567,0.0
17568,6.0
17569,0.0
17570,5.0
17571,9.0
17572,4.0
17573,5.0
17574,5.0
17575,3.0
17576,1.0
17577,4.0
17578,9.0
17579,9.0
17580,8.0
17581,4.0
17582,5.0
17583,4.0
17584,4.0
17585,6.0
17586,9.0
17587,6.0
17588,6.0
17589,9.0
17590,7.0
17591,9.0
17592,6.0
17593,9.0
17594,3.0
17595,9.0
17596,5.0
17597,2.0
17598,7.0
17599,7.0
17600,4.0
17601,9.0
17602,1.0
17603,4.0
17604,1.0
17605,4.0
17606,0.0
17607,5.0
17608,7.0
17609,9.0
17610,3.0
17611,5.0
17612,3.0
