id,Danceability
17170,4.0
17171,7.0
17172,7.0
17173,4.0
17174,7.0
17175,4.0
17176,6.0
17177,4.0
17178,7.0
17179,0.0
17180,4.0
17181,7.0
17182,4.0
17183,4.0
17184,7.0
17185,4.0
17186,4.0
17187,4.0
17188,4.0
17189,4.0
17190,7.0
17191,6.0
17192,4.0
17193,4.0
17194,4.0
17195,4.0
17196,5.0
17197,8.0
17198,4.0
17199,4.0
17200,6.0
17201,5.0
17202,5.0
17203,1.0
17204,7.0
17205,4.0
17206,4.0
17207,7.0
17208,3.0
17209,4.0
17210,4.0
17211,3.0
17212,7.0
17213,8.0
17214,2.0
17215,7.0
17216,4.0
17217,4.0
17218,7.0
17219,7.0
17220,7.0
17221,5.0
17222,7.0
17223,5.0
17224,4.0
17225,5.0
17226,4.0
17227,4.0
17228,4.0
17229,4.0
17230,4.0
17231,5.0
17232,7.0
17233,9.0
17234,5.0
17235,4.0
17236,2.0
17237,5.0
17238,4.0
17239,5.0
17240,4.0
17241,5.0
17242,2.0
17243,4.0
17244,4.0
17245,7.0
17246,4.0
17247,4.0
17248,4.0
17249,5.0
17250,4.0
17251,4.0
17252,5.0
17253,4.0
17254,9.0
17255,8.0
17256,8.0
17257,6.0
17258,6.0
17259,5.0
17260,6.0
17261,4.0
17262,9.0
17263,7.0
17264,5.0
17265,6.0
17266,0.0
17267,4.0
17268,6.0
17269,4.0
17270,8.0
17271,7.0
17272,9.0
17273,7.0
17274,4.0
17275,6.0
17276,4.0
17277,6.0
17278,5.0
17279,5.0
17280,4.0
17281,4.0
17282,0.0
17283,6.0
17284,7.0
17285,7.0
17286,5.0
17287,5.0
17288,8.0
17289,6.0
17290,7.0
17291,7.0
17292,6.0
17293,4.0
17294,7.0
17295,9.0
17296,9.0
17297,9.0
17298,5.0
17299,9.0
17300,1.0
17301,7.0
17302,4.0
17303,0.0
17304,9.0
17305,2.0
17306,6.0
17307,5.0
17308,7.0
17309,6.0
17310,6.0
17311,9.0
17312,5.0
17313,9.0
17314,9.0
17315,6.0
17316,5.0
17317,9.0
17318,9.0
17319,4.0
17320,9.0
17321,5.0
17322,7.0
17323,7.0
17324,4.0
17325,4.0
17326,7.0
17327,7.0
17328,7.0
17329,4.0
17330,4.0
17331,5.0
17332,5.0
17333,5.0
17334,4.0
17335,6.0
17336,4.0
17337,7.0
17338,4.0
17339,8.0
17340,7.0
17341,0.0
17342,4.0
17343,4.0
17344,4.0
17345,5.0
17346,4.0
17347,7.0
17348,7.0
17349,4.0
17350,5.0
17351,4.0
17352,9.0
17353,7.0
17354,8.0
17355,6.0
17356,5.0
17357,7.0
17358,6.0
17359,7.0
17360,6.0
17361,9.0
17362,5.0
17363,6.0
17364,5.0
17365,4.0
17366,4.0
17367,4.0
17368,6.0
17369,7.0
17370,9.0
17371,7.0
17372,7.0
17373,4.0
17374,7.0
17375,4.0
17376,5.0
17377,2.0
17378,1.0
17379,4.0
17380,0.0
17381,4.0
17382,5.0
17383,4.0
17384,7.0
17385,0.0
17386,7.0
17387,5.0
17388,7.0
17389,4.0
17390,8.0
17391,3.0
17392,4.0
17393,8.0
17394,5.0
17395,4.0
17396,5.0
17397,5.0
17398,5.0
17399,7.0
17400,1.0
17401,4.0
17402,2.0
17403,4.0
17404,5.0
17405,4.0
17406,5.0
17407,5.0
17408,4.0
17409,4.0
17410,4.0
17411,5.0
17412,0.0
17413,5.0
17414,4.0
17415,7.0
17416,6.0
17417,6.0
17418,4.0
17419,7.0
17420,4.0
17421,7.0
17422,4.0
17423,4.0
17424,5.0
17425,5.0
17426,7.0
17427,0.0
17428,5.0
17429,5.0
17430,4.0
17431,4.0
17432,5.0
17433,4.0
17434,4.0
17435,4.0
17436,4.0
17437,4.0
17438,4.0
17439,2.0
17440,2.0
17441,1.0
17442,4.0
17443,5.0
17444,4.0
17445,7.0
17446,4.0
17447,4.0
17448,2.0
17449,5.0
17450,7.0
17451,9.0
17452,7.0
17453,8.0
17454,7.0
17455,4.0
17456,9.0
17457,4.0
17458,5.0
17459,9.0
17460,4.0
17461,9.0
17462,4.0
17463,9.0
17464,4.0
17465,7.0
17466,3.0
17467,2.0
17468,5.0
17469,4.0
17470,5.0
17471,4.0
17472,5.0
17473,4.0
17474,4.0
17475,5.0
17476,4.0
17477,2.0
17478,9.0
17479,7.0
17480,8.0
17481,2.0
17482,5.0
17483,8.0
17484,9.0
17485,9.0
17486,9.0
17487,8.0
17488,8.0
17489,5.0
17490,4.0
17491,4.0
17492,4.0
17493,4.0
17494,4.0
17495,0.0
17496,5.0
17497,4.0
17498,4.0
17499,4.0
17500,5.0
17501,4.0
17502,5.0
17503,4.0
17504,2.0
17505,1.0
17506,1.0
17507,4.0
17508,4.0
17509,4.0
17510,7.0
17511,5.0
17512,4.0
17513,4.0
17514,4.0
17515,4.0
17516,4.0
17517,5.0
17518,6.0
17519,9.0
17520,6.0
17521,7.0
17522,9.0
17523,4.0
17524,6.0
17525,7.0
17526,4.0
17527,5.0
17528,5.0
17529,4.0
17530,4.0
17531,9.0
17532,9.0
17533,5.0
17534,4.0
17535,7.0
17536,2.0
17537,4.0
17538,4.0
17539,8.0
17540,7.0
17541,7.0
17542,0.0
17543,1.0
17544,6.0
17545,0.0
17546,0.0
17547,5.0
17548,6.0
17549,4.0
17550,4.0
17551,8.0
17552,4.0
17553,7.0
17554,7.0
17555,7.0
17556,5.0
17557,7.0
17558,9.0
17559,9.0
17560,7.0
17561,9.0
17562,1.0
17563,0.0
17564,6.0
17565,0.0
17566,9.0
17567,0.0
17568,5.0
17569,0.0
17570,2.0
17571,8.0
17572,5.0
17573,5.0
17574,5.0
17575,9.0
17576,5.0
17577,8.0
17578,7.0
17579,7.0
17580,7.0
17581,7.0
17582,2.0
17583,5.0
17584,5.0
17585,5.0
17586,7.0
17587,7.0
17588,4.0
17589,7.0
17590,4.0
17591,8.0
17592,5.0
17593,5.0
17594,4.0
17595,5.0
17596,4.0
17597,0.0
17598,1.0
17599,4.0
17600,4.0
17601,4.0
17602,5.0
17603,0.0
17604,4.0
17605,4.0
17606,0.0
17607,5.0
17608,9.0
17609,7.0
17610,5.0
17611,5.0
17612,6.0
